Date;AAD;AAJ;AAR;ADA;AIO;ASC;AWY;BAS;BFE;BHU;BLI;BRO;BSI;CFE;CHO;CIR;CJO;CRO;DDA;DGR;DHE;DKA;DMA;DMO;DOB;DST;DTE;DWA;FRU;FSC;GAL;GRO;GTR;GWA;HAS;HEM;HKE;HMA;HSC;IHU;IKO;ISP;IWI;JBUE;JDE;JEI;JGA;JMO;JRA;JRE;KFI;KST;KWI;LBO;LBU;LIS;LMA;LMUE;LOR;LRU;LSO;MBO;MBR;MCR;MDA;MFA;MGI;MHE;MLA;MMA;MMO;MPL;MSC;MVA;NAC;NBA;NGR;NKA;NNA;NRA;OMO;PBA;PFA;PGM;PMU;PNI;PSA;PSC;RAF;RBL;RBUE;RFR;RGA;RIS;RSC;RTH;SBI;SBL;SFO;SFR;SJA;SKO;SNE;SOL;SPO;SRA;SST;STE;STH;SZO;TBU;TFE;TSC;UWY;VDO;VNA;VRA;VSC;VTS;WJU;YBE;YHU;YKR;YLI
01.01.26;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;1;p;p;p;p;p;p;p;p;p;p;p;p;1;p;p;p;p;p;p;p;p;1;p;p;p;p;p;p;p;1;p;1;p;p;p;p;p;p;p;p;p;p;1;p;p;p;p;1;p;p;p;p;p;1;p;p;p;p;p;11;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;1;p;p;p;p;p;p;p;p;p;p;1;p;p;p;p;p;p;1
02.01.26;p;p;p;p;p;1;p;p;1;p;p;p;1;p;p;p;p;p;p;p;h;p;p;1;p;p;1;p;p;p;p;p;p;1;p;p;p;p;p;1;p;p;p;p;p;p;h;p;1;p;p;p;p;p;p;p;1;p;1;p;p;p;p;p;h;p;p;p;p;1;p;p;1;p;1;p;p;p;p;p;1;p;p;p;p;p;11;p;mu;p;p;p;h;p;p;p;p;p;p;p;1;p;p;p;h;1;1;p;p;p;p;p;p;p;p;p;1;p;p;p;p;p;h;1
05.01.26;h;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;1;1;1;h;1;1;1;x;1;1;x;1;1;1;h;1;1;1;1;1;1;1;x;1;x;1;1;1;1;1;1;1;1;1;x;1;1;1;h;1;1;1;1;11;x;mu;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;h;1
06.01.26;h;1;1;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;p;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;p;1;1;1;1;1;1;x;1;1;1;h;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;11;1;mu;1;1;1;p;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;p;1
07.01.26;h;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;c/x;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;1;1;1;h;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h/0.5;1;1;1;1;11;1;mu;1;1;x/0.5;h;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;0.5/x;x;1;1;1;1
08.01.26;h;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;1;1;1;h;1;1;1;1;1;1;1;h;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;11;1;mu;1;1;1;h;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
09.01.26;h;1;1;1;1;1;1;x;1;0.5/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;0.5/x;1;1;x;x;1;1;h;1;1;1;1;1;1;0.5/x;h;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;11;1;mu;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;1;x;0.5/x;1;1;1;1;1
12.01.26;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;1;1;h;1;1;1;1;x;1;1;x;1;1;1;h;1;1;1;1;1;1;1;1;1;x;1;1;1;1;1;1;1;1;1;x;1;1;1;1;1;1;1;1;11;x;mu;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1
13.01.26;1;1;1;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;h;1;1;x;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;11;1;mu;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1
14.01.26;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;c/x;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;h;1;1;x;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;11;1;mu;1;1;x/0.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;0.5/x;x;1;1;1;1
15.01.26;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;h;1;1;x;1;1;1;h;1;1;1;1;1;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;11;1;mu;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
16.01.26;1;1;1;1;1;1;1;x;1;0.5/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;x;h;1;1;x;x;1;1;h;1;1;1;1;1;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;11;1;mu;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;0.5/x;1;1;1;1;1
19.01.26;1;1;1;1;1;1;h;h;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;1;1;h;1;1;1;1;x;1;1;x;1;1;1;h;1;1;1;1;1;1;1;1;1;x;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;1;1;1;11;x;mu;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1
20.01.26;1;1;1;1;1;1;h;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;x;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;1;1;h/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;11;h;mu;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1
21.01.26;1;1;1;1;1;1;h;h;1;0.5/x;1;1;1;1;1;1;c/x;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;x;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;1;1;1;11;h;mu;1;1;x/0.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;0.5/x;x;1;1;1;1
22.01.26;1;1;1;1;1;1;h;h;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;x;1;1;1;h;1;1;1;1;1;1;1;1;1;x;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;1;1;x;11;h;mu;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
23.01.26;1;1;1;1;1;1;h;x;1;0.5/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;x;0.5/x;1;1;x;x;1;1;h;1;1;1;1;1;1;1;1;1;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;x;11;h;mu;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;0.5/x;1;1;1;1;1
26.01.26;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;1;1;1;1;1;1;1;x;1;1;x;1;1;1;h;1;1;1;1;1;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;11;x;mu;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1
27.01.26;1;1;1;1;1;1;1;x;1;c;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;1;1;1;x;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;11;1;mu;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1
